,firstname,lastname,gender,birthmonth,birthday,birthyear,course,phonenumber,carrier
508,name509,lastname509,Female,April,10,2001,BS Communications Technology Management,+63 927 100 9522,Globe
509,name510,lastname510,Female,December,28,1998,BS Communications Technology Management,+63 918 449 1726,Smart
510,name511,lastname511,Male,April,11,1998,BS Management Engineering,+63 917 688 3781,Globe
511,name512,lastname512,Female,August,18,1998,BS Management Engineering,+63 917 543 6559,Globe
512,name513,lastname513,Female,April,5,1999,BS Management Engineering,+63 927 232 8037,Globe
513,name514,lastname514,Male,January,12,1999,BS IT Entrepreneurship,+63 927 608 4902,Globe
514,name515,lastname515,Female,June,11,1998,BS Legal Management,+63 927 827 3644,Globe
515,name516,lastname516,Male,February,17,2000,BS IT Entrepreneurship,+63 927 357 4989,Globe
516,name517,lastname517,Male,April,27,2001,BS Management Engineering,+63 917 491 1993,Globe
517,name518,lastname518,Male,February,26,1997,BS Communications Technology Management,+63 918 797 8291,Smart
518,name519,lastname519,Male,November,24,1997,BS Management,+63 917 314 2329,Globe
519,name520,lastname520,Female,May,15,2000,BS Management Engineering,+63 927 775 3422,Globe
520,name521,lastname521,Male,November,21,1999,BS IT Entrepreneurship,+63 927 387 5890,Globe
521,name522,lastname522,Female,July,13,1997,BS Management Engineering,+63 927 473 8626,Globe
522,name523,lastname523,Male,August,21,2000,BS Communications Technology Management,+63 927 699 3438,Globe
523,name524,lastname524,Male,December,11,1997,BS Legal Management,+63 927 325 6294,Globe
524,name525,lastname525,Female,June,15,2001,BS Communications Technology Management,+63 917 177 4774,Globe
525,name526,lastname526,Male,March,10,1998,BS Management Engineering,+63 918 538 5327,Smart
526,name527,lastname527,Male,April,1,2001,BS Management,+63 918 812 7959,Smart
527,name528,lastname528,Female,June,11,1998,BS Management,+63 927 372 4811,Globe
528,name529,lastname529,Female,February,11,1997,BS Legal Management,+63 927 469 5706,Globe
529,name530,lastname530,Male,November,18,1997,BS Management Engineering,+63 927 444 7700,Globe
530,name531,lastname531,Male,November,19,2000,BS Management,+63 927 622 3854,Globe
531,name532,lastname532,Male,October,9,1998,BS IT Entrepreneurship,+63 917 910 9162,Globe
532,name533,lastname533,Male,May,4,2001,BS IT Entrepreneurship,+63 927 373 9316,Globe
533,name534,lastname534,Female,May,23,2001,BS Communications Technology Management,+63 917 251 1124,Globe
534,name535,lastname535,Male,March,4,1997,BS Management Engineering,+63 927 577 7471,Globe
535,name536,lastname536,Female,June,15,2000,BS IT Entrepreneurship,+63 918 138 1962,Smart
536,name537,lastname537,Female,April,13,1998,BS Legal Management,+63 927 792 8939,Globe
537,name538,lastname538,Male,March,9,1999,BS Management,+63 927 830 8250,Globe
538,name539,lastname539,Male,November,18,1998,BS Management,+63 918 194 4060,Smart
539,name540,lastname540,Male,February,4,1997,BS Management Engineering,+63 918 921 3557,Smart
540,name541,lastname541,Female,October,20,1997,BS Management,+63 918 414 4111,Smart
541,name542,lastname542,Female,March,5,1997,BS IT Entrepreneurship,+63 918 340 9046,Smart
542,name543,lastname543,Female,June,4,1998,BS Management,+63 927 485 1284,Globe
543,name544,lastname544,Male,November,22,1998,BS Communications Technology Management,+63 927 151 7167,Globe
544,name545,lastname545,Female,February,7,1999,BS Management Engineering,+63 927 114 7594,Globe
545,name546,lastname546,Male,December,21,1998,BS Management,+63 917 937 2325,Globe
546,name547,lastname547,Female,November,9,1998,BS Legal Management,+63 927 431 9754,Globe
547,name548,lastname548,Male,June,3,1997,BS Legal Management,+63 927 425 8002,Globe
548,name549,lastname549,Male,June,20,2000,BS Management,+63 917 581 5639,Globe
549,name550,lastname550,Female,March,12,1998,BS Communications Technology Management,+63 918 580 7526,Smart
550,name551,lastname551,Male,February,11,1997,BS Legal Management,+63 917 556 4934,Globe
551,name552,lastname552,Female,March,26,1997,BS Legal Management,+63 927 822 3280,Globe
552,name553,lastname553,Male,November,5,1998,BS IT Entrepreneurship,+63 927 264 3760,Globe
553,name554,lastname554,Male,November,28,2001,BS IT Entrepreneurship,+63 917 886 1007,Globe
554,name555,lastname555,Female,April,21,2001,BS Management,+63 918 364 5430,Smart
555,name556,lastname556,Female,January,19,1998,BS Management Engineering,+63 927 440 8339,Globe
556,name557,lastname557,Male,April,22,1998,BS Management Engineering,+63 917 925 3058,Globe
557,name558,lastname558,Female,August,24,1999,BS Management Engineering,+63 917 474 3597,Globe
558,name559,lastname559,Male,August,1,2001,BS Legal Management,+63 918 195 9569,Smart
559,name560,lastname560,Female,December,15,1997,BS Management,+63 917 551 4269,Globe
560,name561,lastname561,Female,December,26,1999,BS Legal Management,+63 918 177 8086,Smart
561,name562,lastname562,Female,January,8,1999,BS Management Engineering,+63 927 217 6451,Globe
562,name563,lastname563,Female,December,18,1999,BS Communications Technology Management,+63 917 363 9982,Globe
563,name564,lastname564,Female,March,23,1999,BS IT Entrepreneurship,+63 927 295 8046,Globe
564,name565,lastname565,Female,August,26,1997,BS Management Engineering,+63 917 249 5815,Globe
565,name566,lastname566,Female,February,11,1997,BS Management Engineering,+63 927 748 6818,Globe
566,name567,lastname567,Female,August,2,1997,BS Management,+63 918 793 6810,Smart
567,name568,lastname568,Female,January,6,1999,BS Management Engineering,+63 917 225 8310,Globe
568,name569,lastname569,Female,October,10,2001,BS Management,+63 917 574 1808,Globe
569,name570,lastname570,Female,August,21,2000,BS Communications Technology Management,+63 918 689 5703,Smart
570,name571,lastname571,Male,March,27,1999,BS IT Entrepreneurship,+63 927 293 8314,Globe
571,name572,lastname572,Male,March,8,1998,BS Legal Management,+63 917 714 4402,Globe
572,name573,lastname573,Female,June,13,2000,BS IT Entrepreneurship,+63 927 495 3274,Globe
573,name574,lastname574,Female,December,6,1999,BS Legal Management,+63 927 313 7592,Globe
574,name575,lastname575,Male,May,15,1997,BS Management Engineering,+63 917 812 7658,Globe
575,name576,lastname576,Male,November,3,1997,BS Legal Management,+63 918 973 2935,Smart
576,name577,lastname577,Female,December,17,1997,BS Communications Technology Management,+63 918 404 3126,Smart
577,name578,lastname578,Female,September,14,2001,BS Communications Technology Management,+63 918 335 5068,Smart
578,name579,lastname579,Male,August,4,1998,BS Communications Technology Management,+63 918 304 2412,Smart
579,name580,lastname580,Female,January,8,1998,BS IT Entrepreneurship,+63 918 348 1352,Smart
580,name581,lastname581,Female,December,26,1999,BS Management,+63 918 880 4150,Smart
581,name582,lastname582,Female,May,24,1999,BS Management Engineering,+63 917 494 9681,Globe
582,name583,lastname583,Male,August,11,1997,BS Management Engineering,+63 918 989 8679,Smart
583,name584,lastname584,Male,June,11,1998,BS Management Engineering,+63 927 359 3617,Globe
584,name585,lastname585,Male,September,22,1999,BS Legal Management,+63 917 505 5839,Globe
585,name586,lastname586,Male,August,27,1999,BS IT Entrepreneurship,+63 927 845 2484,Globe
586,name587,lastname587,Female,February,19,1999,BS Management,+63 927 282 1066,Globe
587,name588,lastname588,Female,November,24,1997,BS Management,+63 927 615 8231,Globe
588,name589,lastname589,Male,September,19,1999,BS IT Entrepreneurship,+63 917 984 9015,Globe
589,name590,lastname590,Female,April,18,1998,BS Management Engineering,+63 917 693 5469,Globe
590,name591,lastname591,Male,November,16,2000,BS Management Engineering,+63 918 955 1464,Smart
591,name592,lastname592,Female,August,2,1999,BS IT Entrepreneurship,+63 917 511 2548,Globe
592,name593,lastname593,Male,March,17,1998,BS IT Entrepreneurship,+63 918 925 1254,Smart
593,name594,lastname594,Male,May,10,1997,BS IT Entrepreneurship,+63 927 943 7120,Globe
594,name595,lastname595,Female,October,9,2000,BS Management Engineering,+63 917 179 8860,Globe
595,name596,lastname596,Female,April,14,1997,BS Management Engineering,+63 927 597 5052,Globe
596,name597,lastname597,Female,June,13,2001,BS Management,+63 917 472 6191,Globe
597,name598,lastname598,Male,December,9,1998,BS Management,+63 927 269 3083,Globe
598,name599,lastname599,Female,March,3,1997,BS Management,+63 927 869 7453,Globe
599,name600,lastname600,Male,August,23,1999,BS Management,+63 927 929 8643,Globe
600,name601,lastname601,Male,June,7,2000,BS Management Engineering,+63 927 199 7786,Globe
601,name602,lastname602,Female,January,27,1997,BS Communications Technology Management,+63 927 244 7754,Globe
602,name603,lastname603,Male,August,24,1999,BS IT Entrepreneurship,+63 917 518 5769,Globe
603,name604,lastname604,Male,September,16,1999,BS IT Entrepreneurship,+63 918 467 8650,Smart
604,name605,lastname605,Female,March,16,1997,BS Communications Technology Management,+63 918 955 9875,Smart
605,name606,lastname606,Male,July,27,1997,BS IT Entrepreneurship,+63 917 606 1240,Globe
606,name607,lastname607,Male,April,5,1999,BS Management Engineering,+63 917 507 6695,Globe
607,name608,lastname608,Female,September,13,2000,BS Legal Management,+63 918 631 4366,Smart
608,name609,lastname609,Male,January,18,1998,BS Management Engineering,+63 917 208 1541,Globe
609,name610,lastname610,Male,November,21,1998,BS Management,+63 917 885 3585,Globe
610,name611,lastname611,Male,November,4,2000,BS Legal Management,+63 917 723 7524,Globe
611,name612,lastname612,Male,March,8,1999,BS Management,+63 918 237 7442,Smart
612,name613,lastname613,Female,August,13,1999,BS Management,+63 927 364 3609,Globe
613,name614,lastname614,Female,November,24,1999,BS IT Entrepreneurship,+63 917 373 1567,Globe
614,name615,lastname615,Male,December,1,1999,BS Legal Management,+63 927 610 6904,Globe
615,name616,lastname616,Female,August,13,1997,BS IT Entrepreneurship,+63 927 116 9499,Globe
616,name617,lastname617,Female,January,28,1999,BS Communications Technology Management,+63 927 183 5286,Globe
617,name618,lastname618,Male,July,22,1999,BS Management Engineering,+63 918 647 2458,Smart
618,name619,lastname619,Female,August,25,1997,BS Legal Management,+63 927 443 4773,Globe
619,name620,lastname620,Female,September,20,1999,BS IT Entrepreneurship,+63 918 430 1349,Smart
620,name621,lastname621,Female,April,6,1997,BS Legal Management,+63 927 132 8496,Globe
621,name622,lastname622,Female,October,24,1997,BS Legal Management,+63 918 404 9712,Smart
622,name623,lastname623,Female,September,23,1997,BS IT Entrepreneurship,+63 917 722 1395,Globe
623,name624,lastname624,Male,March,8,1999,BS Management Engineering,+63 918 400 3947,Smart
624,name625,lastname625,Female,July,1,1999,BS IT Entrepreneurship,+63 927 898 7936,Globe
625,name626,lastname626,Female,April,9,2000,BS Management Engineering,+63 918 796 1250,Smart
626,name627,lastname627,Male,November,2,2001,BS Communications Technology Management,+63 918 760 3341,Smart
627,name628,lastname628,Male,February,2,2001,BS Communications Technology Management,+63 918 295 6097,Smart
628,name629,lastname629,Female,September,7,1999,BS Communications Technology Management,+63 917 387 2390,Globe
629,name630,lastname630,Male,September,18,1997,BS IT Entrepreneurship,+63 917 252 2745,Globe
630,name631,lastname631,Male,August,28,1998,BS Legal Management,+63 917 677 9021,Globe
631,name632,lastname632,Female,February,19,1999,BS IT Entrepreneurship,+63 918 914 3596,Smart
632,name633,lastname633,Male,January,21,1998,BS IT Entrepreneurship,+63 917 778 5734,Globe
633,name634,lastname634,Male,December,15,2001,BS IT Entrepreneurship,+63 918 711 6376,Smart
634,name635,lastname635,Female,March,1,1998,BS Communications Technology Management,+63 918 301 7164,Smart
635,name636,lastname636,Female,January,21,1997,BS Legal Management,+63 918 250 9975,Smart
636,name637,lastname637,Male,October,28,1999,BS Communications Technology Management,+63 917 107 2793,Globe
637,name638,lastname638,Female,February,13,1997,BS IT Entrepreneurship,+63 917 516 2992,Globe
638,name639,lastname639,Male,June,26,1999,BS Management,+63 917 100 6833,Globe
639,name640,lastname640,Female,December,25,1998,BS Management Engineering,+63 927 750 6394,Globe
640,name641,lastname641,Female,February,25,1997,BS IT Entrepreneurship,+63 927 932 1706,Globe
641,name642,lastname642,Female,April,1,1997,BS Legal Management,+63 918 114 2489,Smart
642,name643,lastname643,Female,October,17,1997,BS Management Engineering,+63 927 692 3282,Globe
643,name644,lastname644,Male,May,12,1999,BS Communications Technology Management,+63 918 153 9747,Smart
644,name645,lastname645,Male,March,24,1999,BS IT Entrepreneurship,+63 917 341 7232,Globe
645,name646,lastname646,Female,January,27,1999,BS Legal Management,+63 918 388 9301,Smart
646,name647,lastname647,Female,April,17,1998,BS Management,+63 917 548 6974,Globe
647,name648,lastname648,Male,October,4,1999,BS Communications Technology Management,+63 917 864 6776,Globe
648,name649,lastname649,Female,September,16,2001,BS Legal Management,+63 917 553 9701,Globe
649,name650,lastname650,Female,August,19,1999,BS IT Entrepreneurship,+63 918 608 8148,Smart
650,name651,lastname651,Female,August,23,1999,BS IT Entrepreneurship,+63 927 966 7629,Globe
651,name652,lastname652,Male,May,19,1997,BS Legal Management,+63 927 621 3475,Globe
652,name653,lastname653,Female,January,15,1999,BS Management,+63 917 870 2139,Globe
653,name654,lastname654,Male,June,26,2000,BS Management Engineering,+63 927 899 4314,Globe
654,name655,lastname655,Female,June,25,1999,BS Legal Management,+63 917 439 1927,Globe
655,name656,lastname656,Female,April,2,1998,BS IT Entrepreneurship,+63 917 823 3564,Globe
656,name657,lastname657,Male,November,27,1997,BS Communications Technology Management,+63 917 911 4843,Globe
657,name658,lastname658,Female,April,1,2001,BS Management,+63 917 369 1137,Globe
658,name659,lastname659,Male,April,26,1998,BS IT Entrepreneurship,+63 927 432 5001,Globe
659,name660,lastname660,Female,January,21,1997,BS Management Engineering,+63 917 639 8097,Globe
660,name661,lastname661,Male,July,17,1998,BS IT Entrepreneurship,+63 917 216 9154,Globe
661,name662,lastname662,Male,May,23,1997,BS Management Engineering,+63 917 557 4445,Globe
662,name663,lastname663,Male,November,17,1998,BS Communications Technology Management,+63 927 563 4960,Globe
663,name664,lastname664,Male,September,27,1999,BS Management,+63 917 953 4447,Globe
664,name665,lastname665,Male,November,26,1997,BS IT Entrepreneurship,+63 927 649 6652,Globe
665,name666,lastname666,Male,January,27,2001,BS Management Engineering,+63 917 707 6263,Globe
666,name667,lastname667,Female,June,12,1997,BS Legal Management,+63 918 202 8547,Smart
667,name668,lastname668,Male,September,18,2001,BS IT Entrepreneurship,+63 927 348 2643,Globe
668,name669,lastname669,Male,June,10,1998,BS Legal Management,+63 918 529 8529,Smart
669,name670,lastname670,Female,November,25,1998,BS Communications Technology Management,+63 927 761 5499,Globe
670,name671,lastname671,Male,August,17,1997,BS IT Entrepreneurship,+63 917 108 9053,Globe
671,name672,lastname672,Male,January,25,1997,BS Communications Technology Management,+63 927 826 5387,Globe
672,name673,lastname673,Female,January,9,1997,BS Legal Management,+63 917 682 8954,Globe
673,name674,lastname674,Female,September,1,1997,BS Legal Management,+63 917 918 3752,Globe
674,name675,lastname675,Female,October,4,1998,BS Legal Management,+63 917 822 5318,Globe
675,name676,lastname676,Female,June,1,2000,BS Management,+63 918 347 1908,Smart
676,name677,lastname677,Female,May,10,1999,BS IT Entrepreneurship,+63 917 945 6761,Globe
677,name678,lastname678,Female,November,12,1997,BS Management,+63 927 257 5703,Globe
678,name679,lastname679,Male,December,10,1999,BS Legal Management,+63 918 986 6170,Smart
679,name680,lastname680,Female,March,19,1997,BS IT Entrepreneurship,+63 927 518 9390,Globe
680,name681,lastname681,Female,March,3,1997,BS Communications Technology Management,+63 917 447 7903,Globe
681,name682,lastname682,Female,March,4,1997,BS Management,+63 927 320 3223,Globe
682,name683,lastname683,Female,November,21,1999,BS Management,+63 918 635 9209,Smart
683,name684,lastname684,Male,May,18,1999,BS Communications Technology Management,+63 918 895 2615,Smart
684,name685,lastname685,Male,February,19,1998,BS Legal Management,+63 927 802 3408,Globe
685,name686,lastname686,Male,May,10,1998,BS Management Engineering,+63 927 431 3048,Globe
686,name687,lastname687,Male,December,4,1998,BS Legal Management,+63 927 365 4153,Globe
687,name688,lastname688,Male,March,12,1997,BS Management Engineering,+63 917 941 4103,Globe
688,name689,lastname689,Male,September,26,1999,BS Management Engineering,+63 918 980 7439,Smart
689,name690,lastname690,Female,February,9,2000,BS Legal Management,+63 917 978 1093,Globe
690,name691,lastname691,Male,March,24,2001,BS Communications Technology Management,+63 918 895 4043,Smart
691,name692,lastname692,Female,May,9,1997,BS Communications Technology Management,+63 918 350 4336,Smart
692,name693,lastname693,Male,July,23,1998,BS Legal Management,+63 917 815 7555,Globe
693,name694,lastname694,Male,October,17,2000,BS Management,+63 918 514 8276,Smart
694,name695,lastname695,Male,July,23,1998,BS Management Engineering,+63 918 139 6470,Smart
695,name696,lastname696,Female,August,20,1997,BS Management,+63 927 608 4332,Globe
696,name697,lastname697,Male,August,8,1997,BS Legal Management,+63 918 557 7838,Smart
697,name698,lastname698,Female,February,4,1998,BS Management,+63 917 990 4565,Globe
698,name699,lastname699,Female,October,1,1998,BS Management,+63 917 852 2643,Globe
699,name700,lastname700,Male,July,10,2001,BS Management,+63 917 349 2949,Globe
700,name701,lastname701,Male,June,5,1999,BS Management,+63 917 788 6744,Globe
701,name702,lastname702,Female,May,15,1998,BS Communications Technology Management,+63 918 360 7098,Smart
702,name703,lastname703,Male,June,14,1997,BS Legal Management,+63 927 441 9452,Globe
703,name704,lastname704,Female,October,14,1997,BS Management,+63 917 221 2593,Globe
704,name705,lastname705,Female,December,13,1998,BS Communications Technology Management,+63 927 939 3466,Globe
705,name706,lastname706,Male,November,20,2001,BS Legal Management,+63 917 516 4721,Globe
706,name707,lastname707,Male,December,4,2000,BS Management Engineering,+63 918 546 4373,Smart
707,name708,lastname708,Male,May,27,1997,BS Legal Management,+63 927 899 3173,Globe
708,name709,lastname709,Male,November,11,1998,BS Management,+63 917 757 5871,Globe
709,name710,lastname710,Female,November,9,1998,BS Communications Technology Management,+63 918 968 3488,Smart
710,name711,lastname711,Female,March,4,1997,BS Management Engineering,+63 918 366 1192,Smart
711,name712,lastname712,Male,July,21,1999,BS IT Entrepreneurship,+63 927 949 9293,Globe
712,name713,lastname713,Male,February,3,2001,BS Management Engineering,+63 917 323 8702,Globe
713,name714,lastname714,Male,December,20,1998,BS Management,+63 918 218 9517,Smart
714,name715,lastname715,Female,May,4,1998,BS Management,+63 927 338 2750,Globe
715,name716,lastname716,Male,March,12,1998,BS Legal Management,+63 917 663 8547,Globe
716,name717,lastname717,Female,May,26,1999,BS Communications Technology Management,+63 918 656 4865,Smart
717,name718,lastname718,Female,February,12,1997,BS Management,+63 918 657 4923,Smart
718,name719,lastname719,Male,September,16,1998,BS Legal Management,+63 917 588 2431,Globe
719,name720,lastname720,Female,February,2,2001,BS Legal Management,+63 917 496 4484,Globe
720,name721,lastname721,Male,September,3,1999,BS IT Entrepreneurship,+63 927 476 2773,Globe
721,name722,lastname722,Female,June,19,1999,BS Communications Technology Management,+63 917 858 3626,Globe
722,name723,lastname723,Female,September,10,1999,BS Communications Technology Management,+63 927 787 7491,Globe
723,name724,lastname724,Male,September,7,2001,BS Management,+63 917 535 1270,Globe
724,name725,lastname725,Female,January,14,1998,BS Management,+63 918 560 4115,Smart
725,name726,lastname726,Female,June,23,1997,BS Management Engineering,+63 918 167 8692,Smart
726,name727,lastname727,Female,February,7,1997,BS Management,+63 927 929 3994,Globe
727,name728,lastname728,Male,June,13,1997,BS Communications Technology Management,+63 927 309 3402,Globe
728,name729,lastname729,Male,January,24,1998,BS Management,+63 918 354 8194,Smart
729,name730,lastname730,Male,November,7,1999,BS Management,+63 917 181 5471,Globe
730,name731,lastname731,Female,October,12,1998,BS Management Engineering,+63 917 802 1065,Globe
731,name732,lastname732,Female,October,9,1999,BS Communications Technology Management,+63 927 752 4483,Globe
732,name733,lastname733,Male,November,13,1999,BS Communications Technology Management,+63 927 751 4676,Globe
733,name734,lastname734,Male,November,26,1998,BS Management,+63 918 335 9195,Smart
734,name735,lastname735,Female,February,10,1998,BS Management,+63 917 299 3945,Globe
735,name736,lastname736,Male,February,13,1998,BS Legal Management,+63 927 211 1491,Globe
736,name737,lastname737,Male,November,23,2001,BS IT Entrepreneurship,+63 927 216 7464,Globe
737,name738,lastname738,Female,July,7,2000,BS Management Engineering,+63 918 883 4422,Smart
738,name739,lastname739,Female,April,12,1999,BS Legal Management,+63 917 585 5181,Globe
739,name740,lastname740,Female,March,20,1998,BS Legal Management,+63 917 350 4703,Globe
740,name741,lastname741,Female,September,5,1998,BS Communications Technology Management,+63 917 722 5363,Globe
741,name742,lastname742,Female,September,2,1997,BS Management Engineering,+63 918 198 7932,Smart
742,name743,lastname743,Female,July,14,1998,BS IT Entrepreneurship,+63 917 954 6667,Globe
743,name744,lastname744,Female,October,28,1997,BS IT Entrepreneurship,+63 927 509 7514,Globe
744,name745,lastname745,Male,October,5,1998,BS Management,+63 927 796 6417,Globe
745,name746,lastname746,Male,December,7,2001,BS IT Entrepreneurship,+63 927 698 3622,Globe
746,name747,lastname747,Male,December,18,1999,BS IT Entrepreneurship,+63 918 746 8659,Smart
747,name748,lastname748,Female,April,5,2001,BS Management,+63 917 561 4001,Globe
748,name749,lastname749,Female,February,17,1997,BS Management Engineering,+63 927 163 7846,Globe
749,name750,lastname750,Male,December,1,1997,BS Management,+63 927 659 3077,Globe
750,name751,lastname751,Male,November,19,1998,BS IT Entrepreneurship,+63 917 682 3751,Globe
751,name752,lastname752,Female,April,11,2000,BS Legal Management,+63 927 111 2887,Globe
752,name753,lastname753,Female,June,1,2000,BS Communications Technology Management,+63 918 809 4167,Smart
753,name754,lastname754,Female,June,15,2000,BS Management,+63 917 380 7974,Globe
754,name755,lastname755,Male,June,16,2000,BS Management Engineering,+63 918 234 8018,Smart
755,name756,lastname756,Female,August,16,1999,BS Management,+63 917 738 2557,Globe
756,name757,lastname757,Male,December,13,1999,BS Management Engineering,+63 927 665 6829,Globe
757,name758,lastname758,Male,December,15,1998,BS Communications Technology Management,+63 927 103 9845,Globe
758,name759,lastname759,Male,November,15,1999,BS IT Entrepreneurship,+63 918 716 1196,Smart
759,name760,lastname760,Male,April,21,1997,BS Communications Technology Management,+63 917 889 2089,Globe
760,name761,lastname761,Female,March,22,1998,BS Management,+63 917 536 5199,Globe
761,name762,lastname762,Male,January,7,2001,BS Management Engineering,+63 927 201 3572,Globe
762,name763,lastname763,Male,October,25,1998,BS Legal Management,+63 927 773 8564,Globe
763,name764,lastname764,Female,April,27,1999,BS Legal Management,+63 927 562 9584,Globe
764,name765,lastname765,Female,November,21,2000,BS Communications Technology Management,+63 927 573 8454,Globe
765,name766,lastname766,Male,June,13,1998,BS IT Entrepreneurship,+63 917 637 5575,Globe
766,name767,lastname767,Male,February,14,1999,BS Management Engineering,+63 927 293 1334,Globe
767,name768,lastname768,Female,April,6,2000,BS Legal Management,+63 917 166 8658,Globe
768,name769,lastname769,Male,June,28,1997,BS IT Entrepreneurship,+63 918 108 9862,Smart
769,name770,lastname770,Male,April,4,2001,BS Management Engineering,+63 917 204 2709,Globe
770,name771,lastname771,Male,December,27,2000,BS Management Engineering,+63 927 882 6056,Globe
771,name772,lastname772,Female,May,12,1997,BS Management Engineering,+63 927 161 6194,Globe
772,name773,lastname773,Female,December,1,1999,BS Legal Management,+63 918 906 6087,Smart
773,name774,lastname774,Male,July,7,1999,BS Management Engineering,+63 927 658 1298,Globe
774,name775,lastname775,Female,October,3,1997,BS IT Entrepreneurship,+63 917 424 4286,Globe
775,name776,lastname776,Male,November,16,1998,BS Management Engineering,+63 918 939 2456,Smart
776,name777,lastname777,Male,December,7,1998,BS Legal Management,+63 927 870 5781,Globe
777,name778,lastname778,Female,November,19,1998,BS IT Entrepreneurship,+63 927 395 8840,Globe
778,name779,lastname779,Male,February,26,1999,BS Legal Management,+63 917 270 6901,Globe
779,name780,lastname780,Male,March,23,1999,BS Management,+63 917 952 6452,Globe
780,name781,lastname781,Male,June,18,2001,BS IT Entrepreneurship,+63 927 418 3742,Globe
781,name782,lastname782,Male,January,7,1997,BS Management Engineering,+63 918 233 8431,Smart
782,name783,lastname783,Male,January,13,2001,BS Communications Technology Management,+63 918 219 7061,Smart
783,name784,lastname784,Male,October,13,1998,BS Management,+63 927 298 9517,Globe
784,name785,lastname785,Male,November,10,1999,BS Communications Technology Management,+63 918 853 5737,Smart
785,name786,lastname786,Male,January,20,1999,BS Management Engineering,+63 917 731 6873,Globe
786,name787,lastname787,Female,May,6,1999,BS Legal Management,+63 927 927 3411,Globe
787,name788,lastname788,Female,December,10,1999,BS IT Entrepreneurship,+63 918 304 1152,Smart
788,name789,lastname789,Female,June,6,1998,BS Management Engineering,+63 927 479 4510,Globe
789,name790,lastname790,Male,November,8,1999,BS Management Engineering,+63 917 541 7757,Globe
790,name791,lastname791,Male,February,2,1998,BS Management,+63 918 892 1734,Smart
791,name792,lastname792,Female,June,28,1998,BS Legal Management,+63 917 551 8650,Globe
792,name793,lastname793,Male,January,19,2000,BS Management,+63 918 468 7521,Smart
793,name794,lastname794,Male,April,17,1999,BS Communications Technology Management,+63 917 241 9293,Globe
794,name795,lastname795,Female,July,20,1999,BS Legal Management,+63 917 805 7437,Globe
795,name796,lastname796,Female,June,28,1998,BS Management,+63 927 494 5884,Globe
796,name797,lastname797,Male,September,27,1999,BS Management,+63 917 846 2976,Globe
797,name798,lastname798,Male,October,8,1999,BS Management,+63 917 982 7959,Globe
798,name799,lastname799,Male,October,6,1997,BS Legal Management,+63 917 763 4267,Globe
799,name800,lastname800,Male,October,4,2000,BS Management Engineering,+63 927 925 9558,Globe
800,name801,lastname801,Female,July,9,1998,BS Communications Technology Management,+63 918 222 8588,Smart
801,name802,lastname802,Female,September,20,2000,BS Legal Management,+63 917 432 8589,Globe
802,name803,lastname803,Male,September,8,1999,BS Management Engineering,+63 927 141 1347,Globe
803,name804,lastname804,Female,January,4,2000,BS Communications Technology Management,+63 918 335 4115,Smart
804,name805,lastname805,Male,February,22,1999,BS Management,+63 927 672 2746,Globe
805,name806,lastname806,Female,September,16,1998,BS Management Engineering,+63 917 894 5967,Globe
806,name807,lastname807,Male,August,16,1999,BS Management,+63 917 293 8858,Globe
807,name808,lastname808,Female,February,5,1997,BS Legal Management,+63 917 340 6918,Globe
808,name809,lastname809,Female,March,16,1999,BS Legal Management,+63 917 542 4578,Globe
809,name810,lastname810,Male,July,27,2001,BS Management,+63 927 488 5698,Globe
810,name811,lastname811,Female,September,12,1997,BS Legal Management,+63 917 710 6722,Globe
811,name812,lastname812,Male,April,3,2000,BS IT Entrepreneurship,+63 927 312 1350,Globe
812,name813,lastname813,Male,July,22,1998,BS IT Entrepreneurship,+63 927 930 8635,Globe
813,name814,lastname814,Male,September,24,2001,BS Legal Management,+63 918 674 6521,Smart
814,name815,lastname815,Male,May,28,1997,BS Management,+63 917 378 9770,Globe
815,name816,lastname816,Male,October,22,2000,BS Management Engineering,+63 917 744 7100,Globe
816,name817,lastname817,Female,May,23,2000,BS Legal Management,+63 927 617 8372,Globe
817,name818,lastname818,Female,May,5,1997,BS Management Engineering,+63 918 114 7136,Smart
818,name819,lastname819,Male,March,2,2000,BS IT Entrepreneurship,+63 927 842 2036,Globe
819,name820,lastname820,Male,May,8,2001,BS Management,+63 917 318 2989,Globe
820,name821,lastname821,Female,December,20,2001,BS Management,+63 918 936 7960,Smart
821,name822,lastname822,Female,February,28,1998,BS Legal Management,+63 918 417 7143,Smart
822,name823,lastname823,Female,February,26,1998,BS Communications Technology Management,+63 927 892 4500,Globe
823,name824,lastname824,Female,June,28,1997,BS Legal Management,+63 918 481 9803,Smart
824,name825,lastname825,Male,December,10,1998,BS Management Engineering,+63 917 819 3783,Globe
825,name826,lastname826,Female,January,1,1998,BS Communications Technology Management,+63 918 126 2024,Smart
826,name827,lastname827,Female,November,21,1997,BS Management,+63 927 562 3224,Globe
827,name828,lastname828,Female,July,13,2000,BS Management Engineering,+63 918 308 7447,Smart
828,name829,lastname829,Female,September,7,2001,BS Management,+63 917 447 9808,Globe
829,name830,lastname830,Male,August,19,1999,BS Management,+63 927 549 7794,Globe
830,name831,lastname831,Female,January,2,1999,BS IT Entrepreneurship,+63 917 239 1786,Globe
831,name832,lastname832,Female,August,20,1998,BS Communications Technology Management,+63 927 763 5312,Globe
